PARENTESCO,VALOR_ASIG_RETIRO,REAJUSTE,TOTAL_ASIGNACION,ADICIONALES,TOTAL_DEVENGADO,TOTAL_DESCUENTO,NETO_PAGAR,COSTO TOTAL_NOMINA_2019,TOTAL_PRESUPUESTO GENERAL_NACION_2019,FUERZA,GRADO_ALFABETICO,RANGO,SEXO,EDAD,CIUDAD,DPTO,PAIS
TITULAR,1624989,0,1624989,0,1533009,749024,783985,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,45,IBAGUE,TOLIMA,COLOMBIA
TITULAR,1624989,0,1624989,0,1533009,719647,813362,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,42,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,1624989,0,1624989,0,1533009,76650,1456359,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,43,SAN PABLO,BOLIVAR,COLOMBIA
TITULAR,1558276,0,1558276,0,1470072,513210,956862,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,44,BOGOTÁ,CUNDINAMARCA,COLOMBIA
TITULAR,1624989,0,1624989,0,1533009,764004,769005,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,44,APARTADO,ANTIOQUIA,COLOMBIA
TITULAR,1558276,0,1558276,0,1470072,629965,840107,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,42,CUCUTA,NORTE DE SANTANDER,COLOMBIA
TITULAR,1587770,0,1587770,0,1497897,748948,748949,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,42,FLORENCIA,CAQUETA,COLOMBIA
TITULAR,1624989,0,1624989,0,1533009,670545,862464,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,45,VENADILLO,TOLIMA,COLOMBIA
TITULAR,1624989,0,1624989,0,1533009,623779,909230,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,44,ALBANIA,LA GUAJIRA,COLOMBIA
TITULAR,1617264,0,1617264,0,1525721,801003,724718,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,44,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1624989,0,1624989,0,1533009,674044,858965,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,42,CALI,VALLE DEL CAUCA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,756843,1107412,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,GIRARDOT,CUNDINAMARCA,COLOMBIA
TITULAR,1913927,0,1913927,0,1805591,574839,1230752,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,BARRANQUILLA,ATLANTICO,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,306757,977817,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,SANTANDER DE QUILICHAO,CAUCA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,765365,1098890,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,60,IBAGUE,TOLIMA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,93213,1771042,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,IBAGUE,TOLIMA,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,460025,977585,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,394737,889837,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,63,MOLAGAVITA,SANTANDER,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,101826,1335784,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,LIBANO,TOLIMA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,379988,904586,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,NEIVA,HUILA,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,71880,1365730,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,60,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,950625,1066666,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BUCARAMANGA,SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,687398,1329893,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,IBAGUE,TOLIMA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,593862,1423429,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,NEIVA,HUILA,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,241311,1196299,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,ESPINAL,TOLIMA,COLOMBIA
TITULAR,2260081,0,2260081,0,2132152,264418,1867734,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,VILLAMARIA,CALDAS,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,455527,982083,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,ACACIAS,META,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,202636,1081938,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,TULUA,VALLE DEL CAUCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,355229,1662062,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,PIJAO,QUINDIO,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,264732,1599523,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,CALI,VALLE DEL CAUCA,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,88079,1349531,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,BOGOTÁ,CUNDINAMARCA,COLOMBIA
TITULAR,1586197,0,1586197,0,1496412,531817,964595,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,CALI,VALLE DEL CAUCA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,87126,1197448,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,51,TULUA,VALLE DEL CAUCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,1002409,1014882,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,BELLO,ANTIOQUIA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,64229,1220345,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,116715,1900576,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,ARMENIA,QUINDIO,COLOMBIA
TITULAR,1612911,0,1612911,0,1521614,581417,940197,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,CUCUTA,NORTE DE SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,931934,1085357,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,1388509,0,1388509,0,1309914,80496,1229418,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,IBAGUE,TOLIMA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,848342,1168949,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,TUNJA,BOYACA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,390696,1626595,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,IBAGUE,TOLIMA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,520686,1496605,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,61,PEREIRA,RISARALDA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,540600,1323655,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
